Case,actual_result,LLM_prediction,Modified_text_prediction
2012_S_46.txt,1,1,1
2012_S_79.txt,1,1,1
2012_U_2.txt,0,1,1
2013_D_1.txt,0,0,0
2013_D_54.txt,0,0,0
2013_G_51.txt,0,1,1
2013_G_74.txt,1,1,1
2013_K_6.txt,1,0,1
2013_R_12.txt,0,1,1
2013_S_337.txt,0,0,1
2013_S_377.txt,0,0,0
2013_S_394.txt,0,0,0
2013_U_22.txt,1,1,0
2013_V_7.txt,0,0,1
2014_C_31.txt,1,1,0
2014_C_41.txt,1,1,0
2014_D_62.txt,0,0,1
2014_M_75.txt,0,0,0
2014_S_354.txt,1,0,0
2014_U_57.txt,1,1,0
2015_D_48.txt,0,0,1
2015_K_54.txt,1,1,0
2015_S_103.txt,1,0,0
2015_S_548.txt,0,0,0
2015_V_20.txt,1,1,0
2016_K_82.txt,0,1,1
2016_S_149.txt,0,0,1
2016_S_212.txt,1,0,1
2016_S_51.txt,0,0,0
2016_V_69.txt,0,0,1
2017_A_56.txt,1,1,0
2017_E_23.txt,0,0,0
2017_J_48.txt,1,1,0
2017_K_69.txt,1,0,0
2017_M_2.txt,0,0,1
2017_P_117.txt,1,1,1
2017_S_145.txt,1,1,0
2017_S_348.txt,1,1,1
2017_S_666.txt,1,1,1
2017_U_4.txt,1,1,0
2017_U_43.txt,1,1,1
2017_V_46.txt,1,1,1
2017_V_69.txt,0,0,1
2017_Z_1.txt,1,1,0
2018_N_10.txt,0,1,1
2018_U_25.txt,0,0,0
2019_1029_INSC.txt,1,0,0
2019_1156_INSC.txt,0,0,0
2019_1286_INSC.txt,0,0,0
2019_46_INSC.txt,1,1,0
2019_563_INSC.txt,0,1,0
2019_619_INSC.txt,0,1,0
2019_734_INSC.txt,1,1,0
2019_856_INSC.txt,0,1,1
2019_903_INSC.txt,0,1,1
2019_987_INSC.txt,0,0,0
2020_187_INSC.txt,1,1,1
2020_200_INSC.txt,0,0,0
2020_288_INSC.txt,0,0,1
2020_289_INSC.txt,1,0,0
2020_418_INSC.txt,0,1,1
2020_419_INSC.txt,0,0,0
2020_525_INSC.txt,0,0,1
2020_52_INSC.txt,0,0,0
2020_580_INSC.txt,0,1,1
2020_595_INSC.txt,1,0,0
2020_611_INSC.txt,0,1,0
2020_651_INSC.txt,1,0,0
2020_680_INSC.txt,0,0,1
2021_160_INSC.txt,0,0,1
2021_164_INSC.txt,0,0,0
2021_253_INSC.txt,0,1,1
2021_254_INSC.txt,1,1,0
2021_271_INSC.txt,1,1,1
2021_290_INSC.txt,1,1,1
2021_3_INSC.txt,1,1,0
2021_628_INSC.txt,0,0,1
2022_131_INSC.txt,0,0,1
2022_193_INSC.txt,1,1,0
2022_218_INSC.txt,0,1,1
2022_281_INSC.txt,0,1,1
2022_38_INSC.txt,1,1,0
2022_449_INSC.txt,0,1,1
2022_536_INSC.txt,1,1,1
2022_612_INSC.txt,0,0,1
2022_715_INSC.txt,1,0,0
2022_802_INSC.txt,0,0,0
2022_950_INSC.txt,1,0,0
2022_963_INSC.txt,0,1,1
2023_314_INSC.txt,0,0,0
2023_51_INSC.txt,1,1,1
2023_798_INSC.txt,1,1,1
2023_904_INSC.txt,1,1,1
2023_906_INSC.txt,0,0,1
2023_955_INSC.txt,1,0,0
2023_965_INSC.txt,0,0,1
2024_226_INSC.txt,0,1,1
2024_332_INSC.txt,0,0,0
2024_352_INSC.txt,0,1,0
2024_486_INSC.txt,0,0,0
2024_504_INSC.txt,0,0,1
2024_524_INSC.txt,0,0,0
2024_541_INSC.txt,0,0,1
2024_585_INSC.txt,0,1,1
2024_589_INSC.txt,1,1,0
